dataset,task,model,fold,seed,accuracy,auroc,auprc,es,mae,mse,rmse,r2,osmae
tjh,outcome,AdaCare,0,0,0.947976887,0.995043874,0.992280066,0.836452984,,,,,
tjh,outcome,AdaCare,1,0,0.899999976,0.974267066,0.970929682,0.669747902,,,,,
tjh,outcome,AdaCare,2,0,0.931428552,0.981564045,0.966641247,0.69596521,,,,,
tjh,outcome,AdaCare,3,0,0.933774829,0.988275647,0.984912217,0.8004064,,,,,
tjh,outcome,AdaCare,4,0,0.932203412,0.978075981,0.967427552,0.892980267,,,,,
tjh,outcome,AdaCare,5,0,0.908571422,0.976363182,0.965587497,0.86408488,,,,,
tjh,outcome,AdaCare,6,0,0.915032685,0.985603929,0.984327555,0.698593685,,,,,
tjh,outcome,AdaCare,7,0,0.945054948,0.988395274,0.97430557,0.815498209,,,,,
tjh,outcome,AdaCare,8,0,0.941860437,0.987758577,0.98529458,0.769843527,,,,,
tjh,outcome,AdaCare,9,0,0.963855445,0.99721539,0.994683921,0.795747816,,,,,
tjh,outcome,Agent,0,0,0.924855471,0.991787076,0.9872365,0.755689026,,,,,
tjh,outcome,Agent,1,0,0.961111128,0.992574573,0.989581585,0.93433584,,,,,
tjh,outcome,Agent,2,0,0.942857146,0.994053006,0.988094509,0.775397723,,,,,
tjh,outcome,Agent,3,0,0.91390729,0.970418513,0.958921373,0.81501081,,,,,
tjh,outcome,Agent,4,0,0.915254235,0.981530786,0.972706318,0.921143355,,,,,
tjh,outcome,Agent,5,0,0.857142866,0.949234486,0.932803512,0.86408488,,,,,
tjh,outcome,Agent,6,0,0.928104579,0.963483214,0.969770074,0.828430251,,,,,
tjh,outcome,Agent,7,0,0.978021979,0.997865796,0.995966613,0.967143517,,,,,
tjh,outcome,Agent,8,0,0.970930219,0.997326553,0.99616152,0.947064011,,,,,
tjh,outcome,Agent,9,0,0.867469907,0.961670756,0.930726409,0.771918395,,,,,
tjh,outcome,GRASP,0,0,0.884393036,0.976352274,0.964085281,0.687039661,,,,,
tjh,outcome,GRASP,1,0,0.916666687,0.984893143,0.978565872,0.884122071,,,,,
tjh,outcome,GRASP,2,0,0.937142849,0.989741266,0.973932564,0.748007201,,,,,
tjh,outcome,GRASP,3,0,0.89403975,0.959054828,0.950922787,0.763895377,,,,,
tjh,outcome,GRASP,4,0,0.903954804,0.967711926,0.947733641,0.883592571,,,,,
tjh,outcome,GRASP,5,0,0.834285736,0.919957042,0.888926029,0.873793103,,,,,
tjh,outcome,GRASP,6,0,0.90196079,0.978405893,0.973220289,0.714823256,,,,,
